,studentAnswer,referenceAnswer,ref_1,ref_2,accuracy
21,By putting water in a Petri dish and letting the water evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
22,Poured the top of the vial out.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
23,The salt dissolved and the water evaporated and the salt went to the bottom.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
24,We put it in a evaporation dish and the water evaporated.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
25,I put it on the evaporating dish.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
26,By pouring the water into the salt.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
27,We poured the water out of the bottle.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
28,Letting the water evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
29,Put it on a dish and then the water gets in the air and the salt stays.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
30,I do not know.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
31,The salt separated with the water because the salt was heavier but the water was not even heavy.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
32,We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
33,I put some water in a dish and let the water evaporate so the salt would stay.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,correct
34,Evaporate.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
35,The crystals were salt.,"The water was evaporated, leaving the salt.",We evaporated the salt from the water because the water evaporated and separated.,I put some water in a dish and let the water evaporate so the salt would stay.,incorrect
36,We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
37,You take a look through the magnifying glass.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
38,Because of the paper we looked at.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
39,We looked at a piece of paper and one of the pictures looked like the crystals.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
40,They will not shine.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
41,They were square like salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,correct
42,We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
43,It said so on a paper.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
44,Because it was at it because we had a chart that could tell us that.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
45,They looked like salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
46,We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,correct
47,The teacher told us.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
48,Because salt is made up of little crystals.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
49,Because salt look like little pieces of a crystal.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
50,I knew because they were shaped like kosher salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,correct
51,I knew the crystals were salt by the movie we watched.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
52,Because flour does not turn into crystals.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
53,Because salt is a crystal.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
54,"Because it has a X in the middle, and salt was in it.",The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
55,The crystals are kosher salt and kosher salt is salt!,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
56,By looking at the crystal identification sheet.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
57,Because we measured them.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
58,Because it was so shiny.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
59,They were powdery.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
60,Because there were little shining things inside and I knew it was salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
61,Because we learned it because it was white that is how we knew.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
62,I would know that the crystals were salt is the way how it looks.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
63,We poured the water we left it alone for 2 days and they dry up.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
64,After the water dried we noticed it was Kosher salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
65,By breaking the rock.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
66,Because it tastes like salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
67,Because crystals are a kind of salt.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
68,I looked at them really closely and they looked like crystals and diamonds.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,correct
69,Because we looked in the magnifying glass.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
70,I knew the crystals were salt because of the patterns and shapes.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,correct
71,I looked at the chart.,The crystals were square with Xs on the surface.,I knew the crystals were salt because of the patterns and shapes.,I knew because they were shaped like kosher salt.,incorrect
72,Topaz is harder because it would be all no on the chart.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
73,Topaz is harder. Because topaz is the hardest birthstone.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
74,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
75,M to Z is harder than mineral X and Y.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
76,It is harder than X Y Z because we read about it this morning.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
77,It is harder than them.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
78,"It is harder than minerals X, Y, and Z because it cannot be scratched by either one.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
79,A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
80,The Topaz is the first hardest mineral out of the 3 on the chart.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
81,"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
82,"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
83,"Tied with mineral Y because they are both yes, yes, and yes.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
84,"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
85,"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
86,"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
87,"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
88,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
89,Like steel if you rub them and if it does not scratch.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
90,It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
91,"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
92,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
93,It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
94,Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
95,"It is so strong that minerals X, Y, Z cannot break it.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
96,I know because when you break a rock that is when you know it is hard or not hard.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
97,"How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
98,I know it is Z because it has one yes and 2 no's.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
99,"Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
100,"Topaz has to have X, Y, Z as minerals.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
101,Because it is harder.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
102,I know because a fingernail cannot be scratched the most.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",incorrect
103,"Topaz is the hardest because none of them can scratch it but at least one them can scratch X, Y, Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
104,Topaz would be the hardest because none of the tools could scratch it and at least one tool.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
105,Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X Y Z.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
106,It would be the hardest because none of the tools could scratch it.,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
107,"Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X, Y, and Z.",Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",correct
108,She can do a scratch test and see which one is harder.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
109,Scratch one against the other.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
110,Rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
111,By scratching them.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
112,Rubbing them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
113,Scratch them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
114,Scratch them against each other.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
115,Use her fingernail.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
116,A rock scratch.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
117,Use your fingernail.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
118,Scratch the 2 together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
119,Scratch one against the other.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
120,She can use her nail and penny.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
121,Scratch them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
122,Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
123,Scratch them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
124,Scratch the minerals together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
125,From scratching with another minerals.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
126,She can scratch them together and the one with the mark is the soft one.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
127,She can scratch it together and look and see which leave a scratch.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
128,She could rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
129,Georgia could rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
130,She could rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
131,Scratch the 2 rocks together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
132,By rubbing them together and touching them.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
133,With her nail.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
134,Rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
135,Rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
136,Rubbing them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
137,"She can rub them together and switch, if there is a mark on it and it goes away, it is hard.",Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
138,Rub them together to see if scratch the other.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
139,Rub them together.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,incorrect
140,"Rub them together, see which will scratch the other.",Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
141,Rub them together and see if you can scratch it harder.,Rub the minerals together and see which one scratches the other.,Rub them together and see if one scratches the other.,She can scratch it together and look and see which leave a scratch.,correct
